,Model,Language Model,Features,Average Accuracy,Average F1 Score,Average Precision,Average Recall
0,Light GBM,bert,NLP,0.888,0.887,0.89,0.887
1,K-Nearest Neighbors,bert,NLP,0.876,0.876,0.879,0.876
2,Random Forest,bert,NLP,0.877,0.877,0.881,0.876
3,XGBoost,bert,NLP,0.888,0.888,0.889,0.888
4,Light GBM,bert-large,NLP,0.883,0.883,0.885,0.883
5,K-Nearest Neighbors,bert-large,NLP,0.872,0.872,0.876,0.872
6,Random Forest,bert-large,NLP,0.874,0.874,0.878,0.874
7,XGBoost,bert-large,NLP,0.886,0.886,0.888,0.886
8,Light GBM,gpt2,NLP,0.73,0.73,0.75,0.729
9,K-Nearest Neighbors,gpt2,NLP,0.701,0.686,0.721,0.7
10,Random Forest,gpt2,NLP,0.73,0.73,0.75,0.729
11,XGBoost,gpt2,NLP,0.73,0.73,0.75,0.729
12,Light GBM,roberta,NLP,0.831,0.831,0.833,0.831
13,K-Nearest Neighbors,roberta,NLP,0.798,0.797,0.8,0.798
14,Random Forest,roberta,NLP,0.809,0.809,0.811,0.809
15,XGBoost,roberta,NLP,0.836,0.836,0.838,0.836
16,Light GBM,roberta-large,NLP,0.689,0.685,0.689,0.689
17,K-Nearest Neighbors,roberta-large,NLP,0.636,0.634,0.636,0.636
18,Random Forest,roberta-large,NLP,0.687,0.684,0.686,0.686
19,XGBoost,roberta-large,NLP,0.711,0.709,0.71,0.711
20,Light GBM,xlnet,NLP,0.874,0.874,0.876,0.874
21,K-Nearest Neighbors,xlnet,NLP,0.859,0.858,0.861,0.859
22,Random Forest,xlnet,NLP,0.861,0.861,0.865,0.861
23,XGBoost,xlnet,NLP,0.876,0.876,0.877,0.876
24,Light GBM,xlnet-large,NLP,0.856,0.856,0.86,0.856
25,K-Nearest Neighbors,xlnet-large,NLP,0.847,0.847,0.851,0.847
26,Random Forest,xlnet-large,NLP,0.846,0.846,0.851,0.846
27,XGBoost,xlnet-large,NLP,0.86,0.86,0.862,0.86
28,Light GBM,albert,NLP,0.873,0.873,0.876,0.873
29,K-Nearest Neighbors,albert,NLP,0.858,0.858,0.862,0.858
30,Random Forest,albert,NLP,0.862,0.862,0.867,0.862
31,XGBoost,albert,NLP,0.873,0.873,0.876,0.873
32,Light GBM,albert-large,NLP,0.866,0.866,0.869,0.866
33,K-Nearest Neighbors,albert-large,NLP,0.85,0.85,0.854,0.85
34,Random Forest,albert-large,NLP,0.843,0.843,0.849,0.843
35,XGBoost,albert-large,NLP,0.867,0.867,0.869,0.867
