,Model,Language Model,Features,PCA_Components,Average Accuracy,Average F1 Score,Average Precision,Average Recall,diff
0,Light GBM,bert,NLP,2,0.639179631706568,0.635953260169609,0.64291052033346,0.639841384686734,
1,Light GBM,bert,NLP,4,0.74366696062181,0.74184313207987,0.758051688469869,0.743898207776428,
2,Light GBM,bert,NLP,8,0.835365728066547,0.835049327904569,0.841817368037894,0.835283138693439,
3,Light GBM,bert,NLP,16,0.864967360697456,0.864774768824557,0.86979743446461,0.864799209973007,
4,Light GBM,bert,NLP,32,0.874595040551988,0.874493173980606,0.877917897401346,0.874471679256115,
5,Light GBM,bert,NLP,64,0.879295861974576,0.879238684886624,0.882230774436292,0.87918557177847,
6,Light GBM,bert,NLP,128,0.882518775036331,0.882446787994086,0.885030260617486,0.882421746768769,
7,Light GBM,bert,NLP,256,0.88315505139327,0.883061690893907,0.885476231007127,0.883055861888658,0.008727103040175
8,Light GBM,bert,NLP,512,0.883278393723923,0.883220277020782,0.885856154985651,0.883173451521166,
9,Light GBM,bert,NLP,768,0.88272397055864,0.882638315330242,0.885464507302392,0.882598903938976,
10,Light GBM,bert-large,NLP,2,0.568727921760737,0.558685073699327,0.560501956570978,0.569132042714007,
11,Light GBM,bert-large,NLP,4,0.763168667887659,0.763536388089438,0.770976125564043,0.76315498656866,
12,Light GBM,bert-large,NLP,8,0.817239651649672,0.816906133381765,0.824363759831873,0.817156733238111,
13,Light GBM,bert-large,NLP,16,0.862134330083983,0.861952354299092,0.865496486854803,0.861980984599335,
14,Light GBM,bert-large,NLP,32,0.873096210641783,0.873128655025816,0.875927336666981,0.872980327314918,
15,Light GBM,bert-large,NLP,64,0.878105132955709,0.878180831598846,0.880506746886921,0.878022839691796,
16,Light GBM,bert-large,NLP,128,0.88120493544617,0.881229173813283,0.883299614165682,0.881132992522222,
17,Light GBM,bert-large,NLP,256,0.881102253408885,0.881143433298447,0.883108904497897,0.881033434906099,0.008848193635281
18,Light GBM,bert-large,NLP,512,0.881964343443435,0.881976848661097,0.884012648976894,0.881884038370066,
19,Light GBM,bert-large,NLP,768,0.88093803294118,0.880957676604857,0.882847264207968,0.880880518073019,
20,Light GBM,gpt2,NLP,2,0.729523517085637,0.729839969183786,0.750342914455164,0.728806347444676,
21,Light GBM,gpt2,NLP,4,0.729461915448118,0.729769997420657,0.75029073092907,0.728743847852633,
22,Light GBM,gpt2,NLP,8,0.729502962137431,0.729805043145612,0.750302106245915,0.728784279053174,
23,Light GBM,gpt2,NLP,16,0.729667178391331,0.729981515589826,0.750320970293758,0.728952559251266,
24,Light GBM,gpt2,NLP,32,0.730118772036101,0.73044966901294,0.750690178592163,0.729408634582866,
25,Light GBM,gpt2,NLP,64,0.73024193738688,0.730578101136032,0.750826361653877,0.729526042946173,
