,Model,Language Model,Features,PCA_Components,Average Accuracy,Average F1 Score,Average Precision,Average Recall
0,Light GBM,bert-large,NLP,2,0.5686868708576175,0.5585701149661272,0.5602527109758044,0.5690710490481203
1,Light GBM,bert-large,NLP,4,0.7645234741048105,0.7648074050108518,0.7722210680165983,0.7644984495679401
2,Light GBM,bert-large,NLP,8,0.8172396474358651,0.8169585451349889,0.824148831704511,0.817168321098876
3,Light GBM,bert-large,NLP,16,0.8613542154414772,0.8612517343134425,0.8649190916844972,0.8612000160109579
4,Light GBM,bert-large,NLP,32,0.8737325839162713,0.8737580231955082,0.8765443144879729,0.8736126360631206
5,Light GBM,bert-large,NLP,64,0.8775097979429207,0.877570441658982,0.880017208352944,0.8774261788953049
6,Light GBM,bert-large,NLP,128,0.8810405548538164,0.8810776159267973,0.8832867856501865,0.8809647413855883
7,Light GBM,bert-large,NLP,256,0.8818412075893015,0.8819091947869456,0.8838893092050139,0.881784671434158
8,Light GBM,bert-large,NLP,512,0.8818823259133257,0.8818929349483199,0.8838557453826569,0.881820418472023
9,Light GBM,bert-large,NLP,768,0.8811022491950787,0.8811264703982575,0.8831684295801873,0.8810284744203102
10,Light GBM,roberta-large,NLP,2,0.36960628972987475,0.36539716291919494,0.372519229082062,0.3684894994040233
11,Light GBM,roberta-large,NLP,4,0.42338974019017417,0.41752939187381777,0.4259174647777426,0.42226032360231286
12,Light GBM,roberta-large,NLP,8,0.4861229912362937,0.4818191993597109,0.4863684216051711,0.48518747291946307
13,Light GBM,roberta-large,NLP,16,0.5337892714126264,0.5282628043554481,0.5359970088116952,0.5330382427815358
14,Light GBM,roberta-large,NLP,32,0.5788683460202619,0.5721306211075265,0.5829916034646978,0.5782240598243088
15,Light GBM,roberta-large,NLP,64,0.6176869472117916,0.6114124799911365,0.6197780096625517,0.6170846321191903
16,Light GBM,roberta-large,NLP,128,0.6542884751717463,0.6489232056169605,0.6550833207767464,0.6538918754837946
17,Light GBM,roberta-large,NLP,256,0.6779158234839819,0.6738749612270124,0.6775095711804597,0.6776214276235889
18,Light GBM,roberta-large,NLP,512,0.69062255704567,0.6874653798200241,0.6894664125295306,0.6904389813714624
19,Light GBM,roberta-large,NLP,768,0.6959601689095916,0.693148985458157,0.6946117281118025,0.6958041835218627
