,Model,Language Model,Features,NEstimators,Average Accuracy,Average F1 Score,Average Precision,Average Recall
0,Light GBM,bert,NLP,25,0.8686416904241078,0.8683923522485661,0.8742186354302055,0.8684265488599262
1,Light GBM,bert,NLP,50,0.8799116803008591,0.8798202544116409,0.883048251098636,0.8797731715529136
2,Light GBM,bert,NLP,100,0.8863984561961328,0.8864177705457393,0.8886472705541675,0.8862977919143784
3,Light GBM,bert,NLP,150,0.889292865115379,0.8893430244608501,0.8912205551346574,0.889205089647185
4,Light GBM,bert,NLP,200,0.8899086792278552,0.8899577330482271,0.8917259487920098,0.8898229181216667
5,Light GBM,bert,NLP,250,0.8906887306632632,0.890768323942922,0.8925283318880235,0.8906072747691404
6,Light GBM,bert,NLP,500,0.8923720157400844,0.8924435215963541,0.8941240686142464,0.8922920936161779
7,Light GBM,bert-large,NLP,25,0.8636739117170451,0.8634347302692869,0.8689004481828991,0.8634510119811567
8,Light GBM,bert-large,NLP,50,0.8759702626617301,0.8759000324706119,0.8790096207604492,0.8758356390937989
9,Light GBM,bert-large,NLP,100,0.8831550598208828,0.8831243879568589,0.8850434530866436,0.8830848240276957
10,Light GBM,bert-large,NLP,150,0.8850846503164231,0.8850835206224394,0.8867467667669124,0.8850288560837798
11,Light GBM,bert-large,NLP,200,0.8864600283370061,0.8865050104479515,0.8880435844383697,0.8864105453269261
12,Light GBM,bert-large,NLP,250,0.887691660775765,0.887753272019539,0.8891535532630561,0.8876514744047428
13,Light GBM,bert-large,NLP,500,0.8897034794917408,0.8897787415762508,0.8912708890773315,0.8896449510498172
14,Light GBM,gpt2,NLP,25,0.7295850850127039,0.729907087696953,0.7503041426899972,0.7288720269972669
15,Light GBM,gpt2,NLP,50,0.7297698393595823,0.730109776384893,0.7504947413564763,0.7290596473399329
16,Light GBM,gpt2,NLP,100,0.7296671952465565,0.7299930730492938,0.750311702759534,0.7289572128183005
17,Light GBM,gpt2,NLP,150,0.7296877206981165,0.7300140545515782,0.7503426428879217,0.7289778391556577
18,Light GBM,gpt2,NLP,200,0.729728784242656,0.7300561083105429,0.7503773571088237,0.7290203988524868
19,Light GBM,gpt2,NLP,250,0.7297493054804093,0.7300793975015342,0.7504048828331377,0.7290394220020587
20,Light GBM,gpt2,NLP,500,0.7297903563835293,0.7301240657617503,0.7504376122184885,0.7290815620342986
21,Light GBM,roberta,NLP,25,0.7895881476072827,0.7884367825388653,0.7919816994314721,0.7893797549838993
22,Light GBM,roberta,NLP,50,0.8133596165301225,0.8127633233320981,0.8153910422463688,0.8132140763356581
23,Light GBM,roberta,NLP,100,0.8300901223655701,0.8298525887920862,0.8319770781316314,0.8300040674408968
24,Light GBM,roberta,NLP,150,0.8368438091934471,0.8367573617510404,0.8384383562109751,0.8367869076933836
25,Light GBM,roberta,NLP,200,0.8404157012835929,0.840382443302276,0.841772553314879,0.8403641977102397
26,Light GBM,roberta,NLP,250,0.8428173139579138,0.8428236427449992,0.8441132046883582,0.8427692381115224
27,Light GBM,roberta,NLP,500,0.8476414734973481,0.8477650695361152,0.8489643370175894,0.8475949029463793
28,Light GBM,roberta-large,NLP,25,0.6262882702121971,0.621645546268553,0.6266290877822478,0.6258493579372437
29,Light GBM,roberta-large,NLP,50,0.6604878905313745,0.6557031247529443,0.6604336584709586,0.6601524435380032
