,Model,Language Model,Features,Average Accuracy,Average F1 Score,Average Precision,Average Recall
0,Light GBM,-,report,0.579,0.573,0.571,0.579
1,Light GBM,bert,NLP,0.527,0.526,0.526,0.527
2,Light GBM,bert,report+NLP,0.592,0.586,0.584,0.592
3,Light GBM,bert-large,NLP,0.536,0.535,0.535,0.536
4,Light GBM,bert-large,report+NLP,0.59,0.585,0.583,0.59
5,Light GBM,distilroberta,NLP,0.541,0.539,0.538,0.541
6,Light GBM,distilroberta,report+NLP,0.594,0.588,0.586,0.594
7,Light GBM,bert-cased,NLP,0.55,0.547,0.546,0.55
8,Light GBM,bert-cased,report+NLP,0.603,0.598,0.595,0.603
9,Light GBM,roberta,NLP,0.533,0.531,0.53,0.533
10,Light GBM,roberta,report+NLP,0.589,0.583,0.58,0.589
11,Light GBM,roberta-large,NLP,0.501,0.5,0.499,0.501
12,Light GBM,roberta-large,report+NLP,0.568,0.563,0.561,0.568
13,Light GBM,xlnet,NLP,0.534,0.532,0.531,0.534
14,Light GBM,xlnet,report+NLP,0.595,0.59,0.588,0.595
15,Light GBM,xlnet-large,NLP,0.533,0.531,0.53,0.533
16,Light GBM,xlnet-large,report+NLP,0.589,0.584,0.582,0.589
17,Light GBM,albert,NLP,0.526,0.525,0.525,0.526
18,Light GBM,albert,report+NLP,0.58,0.575,0.573,0.58
19,Light GBM,albert-large,NLP,0.516,0.518,0.522,0.516
20,Light GBM,albert-large,report+NLP,0.58,0.575,0.573,0.58
