,Language Model,Features,Model,Average Accuracy,Average F1 Score,Average Precision,Average Recall
0,-,report,Decision Tree,0.529,0.524125,0.522125,0.529
1,-,report,K-Nearest Neighbors,0.4740000000000001,0.464,0.47100000000000003,0.4740000000000001
2,-,report,Logistic Regression,0.49699999999999994,0.49299999999999994,0.49100000000000005,0.49699999999999994
3,-,report,Random Forest,0.5814999999999999,0.5737499999999999,0.5721249999999999,0.5814999999999999
4,-,report,XGBoost,0.56,0.553,0.551,0.56
5,bert,NLP,Decision Tree,0.482,0.477,0.475,0.482
6,bert,NLP,K-Nearest Neighbors,0.422,0.409,0.419,0.422
7,bert,NLP,Logistic Regression,0.423,0.401,0.41,0.423
8,bert,NLP,Random Forest,0.518,0.516,0.516,0.518
9,bert,NLP,XGBoost,0.5,0.496,0.495,0.5
10,bert,report+NLP,Decision Tree,0.436,0.436,0.436,0.436
11,bert,report+NLP,K-Nearest Neighbors,0.465,0.453,0.464,0.465
12,bert,report+NLP,Logistic Regression,0.516,0.51,0.508,0.516
13,bert,report+NLP,Random Forest,0.535,0.527,0.526,0.535
14,bert,report+NLP,XGBoost,0.558,0.553,0.551,0.558
15,bert-large,NLP,Decision Tree,0.492,0.487,0.485,0.492
16,bert-large,NLP,K-Nearest Neighbors,0.426,0.414,0.422,0.426
17,bert-large,NLP,Logistic Regression,0.435,0.421,0.427,0.435
18,bert-large,NLP,Random Forest,0.518,0.516,0.514,0.518
19,bert-large,NLP,XGBoost,0.501,0.496,0.495,0.501
20,bert-large,report+NLP,Decision Tree,0.426,0.426,0.426,0.426
21,bert-large,report+NLP,K-Nearest Neighbors,0.464,0.453,0.462,0.464
22,bert-large,report+NLP,Logistic Regression,0.525,0.519,0.518,0.525
23,bert-large,report+NLP,Random Forest,0.536,0.528,0.527,0.536
24,bert-large,report+NLP,XGBoost,0.559,0.554,0.552,0.559
25,gpt2,NLP,Decision Tree,0.333,0.167,0.111,0.333
26,gpt2,NLP,K-Nearest Neighbors,0.333,0.167,0.111,0.333
27,gpt2,NLP,Logistic Regression,0.333,0.167,0.111,0.333
28,gpt2,NLP,Random Forest,0.333,0.167,0.111,0.333
29,gpt2,NLP,XGBoost,0.333,0.167,0.111,0.333
30,gpt2,report+NLP,Decision Tree,0.53,0.525,0.524,0.53
31,gpt2,report+NLP,K-Nearest Neighbors,0.474,0.464,0.471,0.474
32,gpt2,report+NLP,Logistic Regression,0.496,0.493,0.491,0.496
33,gpt2,report+NLP,Random Forest,0.583,0.575,0.574,0.583
34,gpt2,report+NLP,XGBoost,0.56,0.553,0.551,0.56
35,mt5,NLP,Decision Tree,0.468,0.463,0.461,0.468
36,mt5,NLP,K-Nearest Neighbors,0.398,0.384,0.395,0.398
37,mt5,NLP,Logistic Regression,0.39,0.379,0.384,0.39
38,mt5,NLP,Random Forest,0.505,0.508,0.511,0.505
39,mt5,NLP,XGBoost,0.48,0.477,0.475,0.48
